Timestamp,PT-TI-01 Pressure,PT-O2-05 Pressure,PT-N2-04 Pressure,PT-H2-03 Pressure,SN-H2-01 State,SN-O2-01 State,SN-N2-01 State,Spark Plug State
2025-05-11 22:00:34,-7.120741964555345,-2.8093773305416114,80.94816502928734,-11.788151447847486,False,False,False,False
2025-05-11 22:00:34,-7.144913712008856,-2.856692615151406,79.88356274366379,-11.81180517859757,False,False,False,False
2025-05-11 22:00:35,-7.169085459462367,-2.8803502574563034,81.18474704027176,-11.764497717097402,False,False,False,False
2025-05-11 22:00:35,-7.120741964555345,-2.8921793580055244,80.94816502928734,-11.740843986347318,False,False,False,False
2025-05-11 22:00:36,-7.1328278382821,-2.8212058722972877,81.42131787538528,-11.799978313222528,False,False,False,False
2025-05-11 22:00:36,-7.096570217101834,-2.9040078997612007,82.84078758955002,-11.693536664545537,False,False,False,False
2025-05-11 22:00:37,-7.1328278382821,-2.856692615151406,84.37853154540062,-11.764497717097402,False,False,False,False
2025-05-11 22:00:37,-7.217428954369388,-2.8921793580055244,85.6797046661377,-11.717190255597234,False,False,False,False
2025-05-11 22:00:38,-7.156999585735611,-2.8330349728465087,85.44313383102417,-11.75267085172236,False,False,False,False
2025-05-11 22:00:38,-7.205343080642633,-2.9158370003104217,84.61511355638504,-11.646229203045369,False,False,False,False
2025-05-11 22:00:39,-7.1811713331891225,-2.868521715700627,84.26024612784386,-11.740843986347318,False,False,False,False
2025-05-11 22:00:39,-7.10865609082859,-2.856692615151406,86.62602153420448,-11.669882933795453,False,False,False,False
2025-05-11 22:00:40,-7.10865609082859,-2.8803502574563034,79.05555364489555,-11.705363390222193,False,False,False,False
2025-05-11 22:00:40,-7.1328278382821,-2.868521715700627,83.43222585320473,-11.646229203045369,False,False,False,False
2025-05-11 22:00:41,-7.144913712008856,-2.9040078997612007,84.02366411685944,-11.740843986347318,False,False,False,False
