Limits
Device,Limit (psi)
PT-TI-01, 470
Sequence
Device,Timestamp (ms)
SN-O2-01,1000
Spark Plug,2000
SN-H2-01,3000
Spark Plug,3500
SN-H2-01,4500
SN-O2-01,4500
SN-N2-01,4600
SN-N2-01,9000
