Timestamp,PT-GG-01 Pressure,PT-VT-02 Pressure,PT-VT-01 Pressure,SN-O2-01 State
2025-09-25 14:13:36.283294,-31.290310219714517,-16.801976454885384,-21.665799253865295,False
2025-09-25 14:13:36.293617,-34.0296220528452,-21.471255314977547,-28.32730062384355,False
2025-09-25 14:13:36.303832,-28.86227580120689,-14.311686553453146,-22.101587634337577,False
2025-09-25 14:13:36.314162,-36.51991195427744,-18.60743251599764,-24.03157818944831,False
2025-09-25 14:13:36.324421,-32.4731879234314,-17.486786767056117,-26.521844562731296,False
2025-09-25 14:13:36.333384,-32.037399542959115,-15.805865199942339,-20.545177033073024,False
2025-09-25 14:13:36.343739,-35.772822631032845,-20.350633094185277,-28.451835117842023,False
2025-09-25 14:13:36.354114,-27.803909063339233,-13.813619161906995,-23.346744349128322,False
2025-09-25 14:13:36.364400,-36.33314550550361,-19.043220896469922,-24.467366569920593,False
2025-09-25 14:13:36.373629,-30.48096541354531,-18.23387609030071,-25.587988790712863,False
2025-09-25 14:13:36.384303,-31.414821185563742,-15.68133070594386,-21.043220896469922,False
2025-09-25 14:13:36.394032,-36.64442292012667,-21.90704369544983,-29.074389947088143,False
2025-09-25 14:13:36.405369,-28.301976454885384,-15.619075223019248,-24.280600121146755,False
2025-09-25 14:13:36.414007,-34.96347782486363,-20.661910508808337,-25.02768944439135,False
2025-09-25 14:13:36.424445,-31.352565702639126,-19.728054736789904,-27.580234828748203,False
2025-09-25 14:13:36.433624,-31.539332151412964,-15.868120682866952,-18.864231937809993,False
2025-09-25 14:13:36.443574,-34.46543396146674,-21.969322706523695,-28.016023209220485,False
2025-09-25 14:13:36.453275,-27.243609717017726,-13.128808849736263,-20.731943481846862,False
2025-09-25 14:13:36.463408,-36.51991195427744,-21.28448886620371,-25.089944927315965,False
2025-09-25 14:13:36.473581,-31.290310219714517,-19.29226635631762,-26.335078113957458,False
2025-09-25 14:13:36.483547,-32.16191050880833,-15.432308774245413,-21.852565702639126,False
2025-09-25 14:13:36.493902,-36.14637905672977,-22.65413301869443,-27.953767726295872,False
2025-09-25 14:13:36.504555,-28.115186477962293,-15.68133070594386,-23.28448886620371,False
2025-09-25 14:13:36.513566,-34.901222341939025,-19.29226635631762,-24.40511108699598,False
2025-09-25 14:13:36.523756,-28.613253869508444,-18.23387609030071,-26.023800699334398,False
2025-09-25 14:13:36.533576,-30.16968799892225,-15.868120682866952,-20.731943481846862,False
2025-09-25 14:13:36.544152,-35.33703425056056,-21.28448886620371,-28.700857049540474,False
2025-09-25 14:13:36.554520,-28.301976454885384,-14.560708485151594,-23.471255314977547,False
2025-09-25 14:13:36.564878,-37.142490311672816,-18.545177033073024,-23.03544340635601,False
2025-09-25 14:13:36.574667,-31.975144060034506,-18.1716206073761,-27.704745794597425,False
2025-09-25 14:13:36.584355,-31.601587634337577,-14.124920104679312,-20.1716206073761,False
2025-09-25 14:13:36.594047,-36.70667840305128,-22.778643984543653,-29.074389947088143,False
2025-09-25 14:13:36.605896,-27.43037616579156,-17.424531284131504,-25.587988790712863,False
2025-09-25 14:13:36.614479,-34.09187753576981,-17.92259867567765,-22.599655025883727,False
2025-09-25 14:13:36.624392,-30.16968799892225,-18.358387056149937,-27.3311893689005,False
2025-09-25 14:13:36.634328,-30.356454447696084,-13.875874644831608,-20.48292155014841,False
2025-09-25 14:13:36.644085,-35.33703425056056,-22.65413301869443,-26.895400988428214,False
2025-09-25 14:13:36.655128,-26.621031359622354,-16.366164546263846,-24.218344638222142,False
2025-09-25 14:13:36.665356,-35.46154521640978,-18.047109641526877,-22.848676957582175,False
2025-09-25 14:13:36.674135,-31.352565702639126,-18.79419896477147,-28.38957963491741,False
2025-09-25 14:13:36.684143,-32.34867695758217,-14.747474933925428,-19.735832226903817,False
2025-09-25 14:13:36.694257,-36.51991195427744,-22.591877535769815,-28.14053417506971,False
2025-09-25 14:13:36.703551,-27.554887131640786,-13.502341747283936,-21.603543770940682,False
2025-09-25 14:13:36.714618,-35.025733307788244,-18.420666067223802,-22.973187923431396,False
2025-09-25 14:13:36.724787,-31.290310219714517,-18.545177033073024,-26.584123573805154,False
2025-09-25 14:13:36.733512,-31.663866645411446,-16.98874290365922,-20.66968799892225,False
2025-09-25 14:13:36.744722,-34.901222341939025,-21.28448886620371,-27.3311893689005,False
2025-09-25 14:13:36.754707,-27.866164546263846,-15.183286842546966,-23.782532729600607,False
2025-09-25 14:13:36.764773,-34.40317847854213,-18.98096541354531,-23.53351079790216,False
2025-09-25 14:13:36.774787,-32.286421474657566,-18.420666067223802,-28.26504514091893,False
2025-09-25 14:13:36.785037,-30.543220896469922,-14.436197519302368,-21.043220896469922,False
2025-09-25 14:13:36.794844,-34.71445589316519,-23.712523284711338,-27.580234828748203,False
2025-09-25 14:13:36.804753,-28.55099838658383,-15.992631648716177,-23.84478821252522,False
2025-09-25 14:13:36.815250,-33.90511108699598,-19.29226635631762,-23.408999832052938,False
2025-09-25 14:13:36.824412,-31.228054736789904,-17.86034319275304,-27.206678403051278,False
2025-09-25 14:13:36.834352,-32.53544340635601,-15.245542325471579,-21.603543770940682,False
2025-09-25 14:13:36.844243,-36.457656471352834,-21.59576628082677,-26.521844562731296,False
2025-09-25 14:13:36.854377,-28.55099838658383,-13.751363678982383,-24.280600121146755,False
2025-09-25 14:13:36.864322,-35.71056714810824,-18.545177033073024,-23.658021763751382,False
2025-09-25 14:13:36.874802,-31.165799253865295,-19.914821185563742,-27.393444851825112,False
2025-09-25 14:13:36.884978,-31.91288857710989,-14.062664621754696,-19.98485415860226,False
